id,inquiry_id,size,color,quantity,type,created_at,updated_at
125,619,34,4,9,bulk,2022-03-02 08:49:30,2022-03-02 08:49:30
126,619,36,4,9,bulk,2022-03-02 08:49:30,2022-03-02 08:49:30
127,619,38,4,9,bulk,2022-03-02 08:49:30,2022-03-02 08:49:30
128,619,40,4,9,bulk,2022-03-02 08:49:30,2022-03-02 08:49:30
129,619,42,4,9,bulk,2022-03-02 08:49:30,2022-03-02 08:49:30
130,619,44,4,3,bulk,2022-03-02 08:49:30,2022-03-02 08:49:30
131,619,46,4,2,bulk,2022-03-02 08:49:30,2022-03-02 08:49:30
132,619,48,4,,bulk,2022-03-02 08:49:30,2022-03-02 08:49:30
133,619,52,4,,bulk,2022-03-02 08:49:30,2022-03-02 08:49:30
134,619,54,4,,bulk,2022-03-02 08:49:30,2022-03-02 08:49:30
135,655,UK 8,red,,sample,2022-03-17 20:05:51,2022-03-17 20:05:51
136,655,UK 10,red,2,sample,2022-03-17 20:05:51,2022-03-17 20:05:51
137,655,UK 12,red,,sample,2022-03-17 20:05:51,2022-03-17 20:05:51
138,655,UK 14,red,,sample,2022-03-17 20:05:51,2022-03-17 20:05:51
139,655,UK 16,red,,sample,2022-03-17 20:05:51,2022-03-17 20:05:51
140,655,UK 18,red,,sample,2022-03-17 20:05:51,2022-03-17 20:05:51
141,655,UK 8,black,,sample,2022-03-17 20:05:51,2022-03-17 20:05:51
142,655,UK 10,black,,sample,2022-03-17 20:05:51,2022-03-17 20:05:51
143,655,UK 12,black,,sample,2022-03-17 20:05:51,2022-03-17 20:05:51
144,655,UK 14,black,,sample,2022-03-17 20:05:51,2022-03-17 20:05:51
145,655,UK 16,black,,sample,2022-03-17 20:05:51,2022-03-17 20:05:51
146,655,UK 18,black,,sample,2022-03-17 20:05:51,2022-03-17 20:05:51
159,686,36,Red,2,sample,2022-03-23 12:28:14,2022-03-23 12:28:14
160,686,38,Red,,sample,2022-03-23 12:28:14,2022-03-23 12:28:14
161,686,40,Red,,sample,2022-03-23 12:28:14,2022-03-23 12:28:14
162,686,42,Red,,sample,2022-03-23 12:28:14,2022-03-23 12:28:14
163,686,44,Red,,sample,2022-03-23 12:28:14,2022-03-23 12:28:14
164,686,46,Red,,sample,2022-03-23 12:28:14,2022-03-23 12:28:14
165,686,36,Red,64,bulk,2022-03-23 12:28:14,2022-03-23 12:28:14
166,686,38,Red,,bulk,2022-03-23 12:28:14,2022-03-23 12:28:14
167,686,40,Red,,bulk,2022-03-23 12:28:14,2022-03-23 12:28:14
168,686,42,Red,,bulk,2022-03-23 12:28:14,2022-03-23 12:28:14
169,686,44,Red,,bulk,2022-03-23 12:28:14,2022-03-23 12:28:14
170,686,46,Red,,bulk,2022-03-23 12:28:14,2022-03-23 12:28:14
234,702,0,black,,sample,2022-05-10 14:33:09,2022-05-10 14:33:09
235,702,2,black,,sample,2022-05-10 14:33:09,2022-05-10 14:33:09
236,702,6,black,,sample,2022-05-10 14:33:09,2022-05-10 14:33:09
237,702,8,black,,sample,2022-05-10 14:33:09,2022-05-10 14:33:09
238,702,10,black,,sample,2022-05-10 14:33:09,2022-05-10 14:33:09
239,702,12,black,1,sample,2022-05-10 14:33:09,2022-05-10 14:33:09
240,702,14,black,,sample,2022-05-10 14:33:09,2022-05-10 14:33:09
248,702,0,black,,bulk,2022-05-13 14:11:10,2022-05-13 14:11:10
249,702,2,black,,bulk,2022-05-13 14:11:10,2022-05-13 14:11:10
250,702,6,black,10,bulk,2022-05-13 14:11:10,2022-05-13 14:11:10
251,702,8,black,20,bulk,2022-05-13 14:11:10,2022-05-13 14:11:10
252,702,10,black,27,bulk,2022-05-13 14:11:10,2022-05-13 14:11:10
253,702,12,black,28,bulk,2022-05-13 14:11:10,2022-05-13 14:11:10
254,702,14,black,15,bulk,2022-05-13 14:11:10,2022-05-13 14:11:10
255,655,UK 8,#868493,25,bulk,2022-06-06 12:06:11,2022-06-06 12:06:11
256,655,UK 10,#868493,25,bulk,2022-06-06 12:06:11,2022-06-06 12:06:11
257,655,UK 12,#868493,10,bulk,2022-06-06 12:06:11,2022-06-06 12:06:11
258,655,UK 14,#868493,5,bulk,2022-06-06 12:06:11,2022-06-06 12:06:11
259,655,UK 16,#868493,5,bulk,2022-06-06 12:06:11,2022-06-06 12:06:11
260,655,UK 18,#868493,10,bulk,2022-06-06 12:06:11,2022-06-06 12:06:11
306,458,34,Red,58,bulk,2022-06-25 15:34:33,2022-06-25 15:34:33
307,458,36,Red,,bulk,2022-06-25 15:34:33,2022-06-25 15:34:33
308,458,38,Red,4,bulk,2022-06-25 15:34:33,2022-06-25 15:34:33
309,458,40,Red,,bulk,2022-06-25 15:34:33,2022-06-25 15:34:33
310,458,42,Red,4,bulk,2022-06-25 15:34:33,2022-06-25 15:34:33
311,458,44,Red,,bulk,2022-06-25 15:34:33,2022-06-25 15:34:33
312,458,46,Red,,bulk,2022-06-25 15:34:33,2022-06-25 15:34:33
313,458,48,Red,,bulk,2022-06-25 15:34:33,2022-06-25 15:34:33
314,458,52,Red,,bulk,2022-06-25 15:34:33,2022-06-25 15:34:33
315,458,54,Red,,bulk,2022-06-25 15:34:33,2022-06-25 15:34:33
400,768,UK 8,1,,bulk,2022-07-04 11:43:39,2022-07-04 11:43:39
401,768,UK 10,1,,bulk,2022-07-04 11:43:39,2022-07-04 11:43:39
402,768,UK 12,1,199,bulk,2022-07-04 11:43:39,2022-07-04 11:43:39
403,768,UK 14,1,,bulk,2022-07-04 11:43:39,2022-07-04 11:43:39
404,768,UK 16,1,,bulk,2022-07-04 11:43:39,2022-07-04 11:43:39
405,768,UK 18,1,,bulk,2022-07-04 11:43:39,2022-07-04 11:43:39
442,770,36,4,2,sample,2022-07-12 18:36:32,2022-07-12 18:36:32
443,770,38,4,2,sample,2022-07-12 18:36:32,2022-07-12 18:36:32
444,770,40,4,1,sample,2022-07-12 18:36:32,2022-07-12 18:36:32
445,770,42,4,1,sample,2022-07-12 18:36:32,2022-07-12 18:36:32
446,770,44,4,1,sample,2022-07-12 18:36:32,2022-07-12 18:36:32
447,770,46,4,1,sample,2022-07-12 18:36:32,2022-07-12 18:36:32
448,770,36,4,34,bulk,2022-07-12 18:36:32,2022-07-12 18:36:32
449,770,38,4,36,bulk,2022-07-12 18:36:32,2022-07-12 18:36:32
450,770,40,4,,bulk,2022-07-12 18:36:32,2022-07-12 18:36:32
451,770,42,4,,bulk,2022-07-12 18:36:32,2022-07-12 18:36:32
452,770,44,4,,bulk,2022-07-12 18:36:32,2022-07-12 18:36:32
453,770,46,4,,bulk,2022-07-12 18:36:32,2022-07-12 18:36:32
454,734,UK 8,rust,,sample,2022-08-08 13:22:28,2022-08-08 13:22:28
455,734,UK 10,rust,,sample,2022-08-08 13:22:28,2022-08-08 13:22:28
456,734,UK 12,rust,1,sample,2022-08-08 13:22:28,2022-08-08 13:22:28
457,734,UK 14,rust,,sample,2022-08-08 13:22:28,2022-08-08 13:22:28
458,734,UK 16,rust,,sample,2022-08-08 13:22:28,2022-08-08 13:22:28
459,734,UK 18,rust,,sample,2022-08-08 13:22:28,2022-08-08 13:22:28
460,734,UK 8,rust,500,bulk,2022-08-08 13:22:28,2022-08-08 13:22:28
461,734,UK 10,rust,1000,bulk,2022-08-08 13:22:28,2022-08-08 13:22:28
462,734,UK 12,rust,1000,bulk,2022-08-08 13:22:28,2022-08-08 13:22:28
463,734,UK 14,rust,1000,bulk,2022-08-08 13:22:28,2022-08-08 13:22:28
464,734,UK 16,rust,500,bulk,2022-08-08 13:22:28,2022-08-08 13:22:28
465,734,UK 18,rust,500,bulk,2022-08-08 13:22:28,2022-08-08 13:22:28
522,795,34,red,1,sample,2022-08-31 15:59:47,2022-08-31 15:59:47
523,795,36,red,1,sample,2022-08-31 15:59:47,2022-08-31 15:59:47
524,795,38,red,1,sample,2022-08-31 15:59:47,2022-08-31 15:59:47
525,795,40,red,1,sample,2022-08-31 15:59:47,2022-08-31 15:59:47
526,795,42,red,1,sample,2022-08-31 15:59:47,2022-08-31 15:59:47
