id,inquiry_id,cost_service_id,income,payment,profit_or_loss_amount,profit_or_loss_status,created_at,updated_at,supplier_id
115,40,3,0.0,0.0,0.0,3,,,
116,40,4,0.0,0.0,0.0,3,,,
117,40,5,0.0,0.0,0.0,3,,,
118,40,6,0.0,0.0,0.0,3,,,
119,40,7,0.0,0.0,0.0,3,,,
120,40,8,0.0,0.0,0.0,3,,,
121,47,1,0.0,0.0,0.0,3,,,
122,47,2,0.0,0.0,0.0,3,,,
123,47,3,0.0,0.0,0.0,3,,,
124,47,4,0.0,0.0,0.0,3,,,
125,47,5,0.0,0.0,0.0,3,,,
126,47,6,0.0,0.0,0.0,3,,,
127,47,7,0.0,0.0,0.0,3,,,
128,47,8,0.0,0.0,0.0,3,,,
129,49,1,0.0,0.0,0.0,3,,,
130,49,2,0.0,0.0,0.0,3,,,
131,49,3,0.0,0.0,0.0,3,,,
132,49,4,0.0,0.0,0.0,3,,,
133,49,5,0.0,0.0,0.0,3,,,
134,49,6,0.0,0.0,0.0,3,,,
135,49,7,0.0,0.0,0.0,3,,,
136,49,8,0.0,0.0,0.0,3,,,
137,50,1,0.0,0.0,0.0,3,,,
138,50,2,0.0,0.0,0.0,3,,,
139,50,3,0.0,0.0,0.0,3,,,
140,50,4,0.0,0.0,0.0,3,,,
141,50,5,0.0,0.0,0.0,3,,,
142,50,6,0.0,0.0,0.0,3,,,
143,50,7,0.0,0.0,0.0,3,,,
144,50,8,0.0,0.0,0.0,3,,,
145,51,1,0.0,0.0,0.0,3,,,
146,51,2,0.0,0.0,0.0,3,,,
147,51,3,0.0,0.0,0.0,3,,,
148,51,4,0.0,0.0,0.0,3,,,
149,51,5,0.0,0.0,0.0,3,,,
150,51,6,0.0,0.0,0.0,3,,,
151,51,7,0.0,0.0,0.0,3,,,
152,51,8,0.0,0.0,0.0,3,,,
153,52,1,0.0,0.0,0.0,3,,,
154,52,2,0.0,0.0,0.0,3,,,
155,52,3,0.0,0.0,0.0,3,,,
156,52,4,0.0,0.0,0.0,3,,,
157,52,5,0.0,0.0,0.0,3,,,
158,52,6,0.0,0.0,0.0,3,,,
159,52,7,0.0,0.0,0.0,3,,,
160,52,8,0.0,0.0,0.0,3,,,
161,54,1,0.0,0.0,0.0,3,,,
162,54,2,0.0,0.0,0.0,3,,,
163,54,3,0.0,0.0,0.0,3,,,
164,54,4,0.0,0.0,0.0,3,,,
165,54,5,0.0,0.0,0.0,3,,,
166,54,6,0.0,0.0,0.0,3,,,
167,54,7,0.0,0.0,0.0,3,,,
168,54,8,0.0,0.0,0.0,3,,,
169,55,1,0.0,0.0,0.0,3,,,
170,55,2,0.0,0.0,0.0,3,,,
171,55,3,0.0,0.0,0.0,3,,,
172,55,4,0.0,0.0,0.0,3,,,
173,55,5,0.0,0.0,0.0,3,,,
174,55,6,0.0,0.0,0.0,3,,,
175,55,7,0.0,0.0,0.0,3,,,
176,55,8,0.0,0.0,0.0,3,,,
177,60,1,0.0,0.0,0.0,3,,,
178,60,2,0.0,0.0,0.0,3,,,
179,60,3,0.0,0.0,0.0,3,,,
180,60,4,0.0,0.0,0.0,3,,,
181,60,5,0.0,0.0,0.0,3,,,
