id,inquiry_id,supplier_id,created_at,updated_at
56,401,1745,2021-07-30 15:03:05,2021-07-30 15:03:05
59,336,291,2021-07-30 15:26:19,2021-07-30 15:26:19
60,290,1731,2021-08-02 10:21:04,2021-08-02 10:21:04
61,290,1732,2021-08-02 10:21:27,2021-08-02 10:21:27
63,405,412,2021-08-03 06:37:56,2021-08-03 06:37:56
65,291,1747,2021-08-04 09:22:18,2021-08-04 09:22:18
66,290,1747,2021-08-04 09:23:23,2021-08-04 09:23:23
67,491,1731,2021-08-04 10:50:04,2021-08-04 10:50:04
68,490,1731,2021-08-04 10:51:07,2021-08-04 10:51:07
69,489,1731,2021-08-04 10:51:52,2021-08-04 10:51:52
70,475,1731,2021-08-09 08:23:09,2021-08-09 08:23:09
71,535,254,2021-08-10 11:39:23,2021-08-10 11:39:23
72,536,254,,
73,537,254,,
74,538,254,,
75,537,410,2021-08-10 17:00:19,2021-08-10 17:00:19
76,485,293,2021-08-11 08:25:23,2021-08-11 08:25:23
77,440,293,2021-08-16 17:07:15,2021-08-16 17:07:15
78,545,293,2021-08-17 08:38:41,2021-08-17 08:38:41
79,512,293,2021-08-17 08:40:02,2021-08-17 08:40:02
80,434,293,2021-08-18 06:02:23,2021-08-18 06:02:23
81,548,254,,
82,549,254,,
83,440,1747,2021-08-23 07:23:11,2021-08-23 07:23:11
85,440,1731,2021-08-24 10:59:57,2021-08-24 10:59:57
92,434,1731,2021-08-25 10:38:32,2021-08-25 10:38:32
93,434,1747,2021-08-25 10:38:49,2021-08-25 10:38:49
94,425,1766,2021-08-26 11:20:23,2021-08-26 11:20:23
95,556,293,2021-08-26 14:01:14,2021-08-26 14:01:14
96,513,1762,2021-08-26 16:12:12,2021-08-26 16:12:12
97,405,1762,2021-08-26 16:13:07,2021-08-26 16:13:07
98,559,293,,
99,559,410,,
100,559,412,,
101,559,254,,
102,520,1762,2021-08-26 16:13:57,2021-08-26 16:13:57
103,518,1762,2021-08-26 16:14:54,2021-08-26 16:14:54
104,515,1762,2021-08-26 16:17:47,2021-08-26 16:17:47
105,557,1731,2021-08-27 07:46:39,2021-08-27 07:46:39
106,532,1731,2021-08-27 16:49:34,2021-08-27 16:49:34
107,532,1732,2021-08-27 16:49:40,2021-08-27 16:49:40
108,532,1747,2021-08-27 16:49:46,2021-08-27 16:49:46
109,563,1766,,
110,546,1769,2021-09-02 09:08:14,2021-09-02 09:08:14
111,563,1769,2021-09-02 09:13:41,2021-09-02 09:13:41
112,558,293,2021-09-02 10:57:18,2021-09-02 10:57:18
113,557,293,2021-09-07 16:52:33,2021-09-07 16:52:33
114,566,412,2021-09-14 08:53:07,2021-09-14 08:53:07
115,565,293,2021-09-20 11:11:19,2021-09-20 11:11:19
116,541,293,2021-09-20 11:24:20,2021-09-20 11:24:20
117,541,1769,2021-09-28 13:10:31,2021-09-28 13:10:31
118,514,1786,2021-10-12 13:36:52,2021-10-12 13:36:52
119,516,1786,2021-10-12 13:39:12,2021-10-12 13:39:12
120,400,1731,2021-10-15 15:49:52,2021-10-15 15:49:52
121,400,1747,2021-10-15 15:50:01,2021-10-15 15:50:01
122,400,1732,2021-10-15 15:50:08,2021-10-15 15:50:08
123,400,1787,2021-10-15 15:55:50,2021-10-15 15:55:50
124,581,293,2021-10-19 05:35:34,2021-10-19 05:35:34
126,576,1788,2021-10-19 07:56:43,2021-10-19 07:56:43
127,581,1786,2021-10-19 14:23:04,2021-10-19 14:23:04
128,512,412,2021-10-26 17:49:27,2021-10-26 17:49:27
129,545,412,2021-10-26 17:51:42,2021-10-26 17:51:42
130,594,293,2021-11-04 11:27:46,2021-11-04 11:27:46
131,551,293,2021-11-16 11:11:53,2021-11-16 11:11:53
132,601,293,2021-11-16 15:18:46,2021-11-16 15:18:46
133,588,293,2021-11-24 16:10:28,2021-11-24 16:10:28
134,592,254,2021-11-30 08:04:37,2021-11-30 08:04:37
135,592,410,2021-11-30 08:04:38,2021-11-30 08:04:38
136,181,291,2021-12-01 07:09:33,2021-12-01 07:09:33
137,505,468,2021-12-01 12:01:48,2021-12-01 12:01:48
138,596,293,2021-12-03 05:32:54,2021-12-03 05:32:54
139,612,1810,2021-12-03 12:15:12,2021-12-03 12:15:12
140,606,1810,2021-12-06 11:55:01,2021-12-06 11:55:01
141,578,1788,2021-12-07 14:15:46,2021-12-07 14:15:46
142,607,1810,2021-12-08 13:26:51,2021-12-08 13:26:51
143,607,1813,2021-12-08 13:26:52,2021-12-08 13:26:52
144,607,1814,2021-12-08 13:26:54,2021-12-08 13:26:54
145,608,1810,2021-12-08 13:27:38,2021-12-08 13:27:38
146,608,1813,2021-12-08 13:27:39,2021-12-08 13:27:39
147,608,1814,2021-12-08 13:27:40,2021-12-08 13:27:40
148,609,1810,2021-12-08 13:28:15,2021-12-08 13:28:15
149,609,1813,2021-12-08 13:28:17,2021-12-08 13:28:17
150,609,1814,2021-12-08 13:28:18,2021-12-08 13:28:18
151,610,1810,2021-12-08 13:30:00,2021-12-08 13:30:00
152,610,1813,2021-12-08 13:30:02,2021-12-08 13:30:02
153,610,1814,2021-12-08 13:30:04,2021-12-08 13:30:04
154,611,1810,2021-12-08 13:30:44,2021-12-08 13:30:44
155,611,1813,2021-12-08 13:30:47,2021-12-08 13:30:47
156,611,1814,2021-12-08 13:30:48,2021-12-08 13:30:48
157,599,293,2021-12-13 05:00:49,2021-12-13 05:00:49
158,598,293,2021-12-13 05:02:20,2021-12-13 05:02:20
159,597,293,2021-12-13 05:03:15,2021-12-13 05:03:15
